Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001030,GENERAL ELECTION 2018,37,Henry,1000920,AL-02,3,Write-In,10,NON
1001030,GENERAL ELECTION 2018,37,Henry,1001000,GOVERNOR,1,Walt Maddox,2037,DEM
1001030,GENERAL ELECTION 2018,37,Henry,1001000,GOVERNOR,2,Kay Ivey,4653,REP
1001030,GENERAL ELECTION 2018,37,Henry,1001000,GOVERNOR,3,Write-In,14,NON
1001030,GENERAL ELECTION 2018,38,Houston,1000920,AL-02,1,Tabitha Isner,9888,DEM
1001030,GENERAL ELECTION 2018,38,Houston,1000920,AL-02,2,Martha Roby,21976,REP
1001030,GENERAL ELECTION 2018,38,Houston,1000920,AL-02,3,Write-In,96,NON
1001030,GENERAL ELECTION 2018,38,Houston,1001000,GOVERNOR,1,Walt Maddox,8993,DEM
1001030,GENERAL ELECTION 2018,38,Houston,1001000,GOVERNOR,2,Kay Ivey,23012,REP
1001030,GENERAL ELECTION 2018,38,Houston,1001000,GOVERNOR,3,Write-In,51,NON
1001030,GENERAL ELECTION 2018,39,Jackson,1000940,AL-04,1,Lee Auman,5,DEM
1001030,GENERAL ELECTION 2018,39,Jackson,1000940,AL-04,2,Robert Aderholt,51,REP
1001030,GENERAL ELECTION 2018,39,Jackson,1000940,AL-04,3,Write-In,0,NON
1001030,GENERAL ELECTION 2018,39,Jackson,1000950,AL-05,1,Peter Joffrion,3512,DEM
1001030,GENERAL ELECTION 2018,39,Jackson,1000950,AL-05,2,Mo Brooks,11991,REP
1001030,GENERAL ELECTION 2018,39,Jackson,1000950,AL-05,3,Write-In,10,NON
1001030,GENERAL ELECTION 2018,39,Jackson,1001000,GOVERNOR,1,Walt Maddox,3565,DEM
1001030,GENERAL ELECTION 2018,39,Jackson,1001000,GOVERNOR,2,Kay Ivey,12066,REP
1001030,GENERAL ELECTION 2018,39,Jackson,1001000,GOVERNOR,3,Write-In,39,NON
1001030,GENERAL ELECTION 2018,40,Lamar,1000940,AL-04,1,Lee Auman,823,DEM
1001030,GENERAL ELECTION 2018,40,Lamar,1000940,AL-04,2,Robert Aderholt,4530,REP
1001030,GENERAL ELECTION 2018,40,Lamar,1000940,AL-04,3,Write-In,1,NON
1001030,GENERAL ELECTION 2018,40,Lamar,1001000,GOVERNOR,1,Walt Maddox,973,DEM
1001030,GENERAL ELECTION 2018,40,Lamar,1001000,GOVERNOR,2,Kay Ivey,4397,REP
1001030,GENERAL ELECTION 2018,40,Lamar,1001000,GOVERNOR,3,Write-In,4,NON
1001030,GENERAL ELECTION 2018,41,Lauderdale,1000950,AL-05,1,Peter Joffrion,10225,DEM
1001030,GENERAL ELECTION 2018,41,Lauderdale,1000950,AL-05,2,Mo Brooks,20369,REP
1001030,GENERAL ELECTION 2018,41,Lauderdale,1000950,AL-05,3,Write-In,12,NON
1001030,GENERAL ELECTION 2018,41,Lauderdale,1001000,GOVERNOR,1,Walt Maddox,10154,DEM
1001030,GENERAL ELECTION 2018,41,Lauderdale,1001000,GOVERNOR,2,Kay Ivey,20561,REP
1001030,GENERAL ELECTION 2018,41,Lauderdale,1001000,GOVERNOR,3,Write-In,49,NON
1001030,GENERAL ELECTION 2018,42,Lawrence,1000940,AL-04,1,Lee Auman,3164,DEM
1001030,GENERAL ELECTION 2018,42,Lawrence,1000940,AL-04,2,Robert Aderholt,8567,REP
1001030,GENERAL ELECTION 2018,42,Lawrence,1000940,AL-04,3,Write-In,6,NON
1001030,GENERAL ELECTION 2018,42,Lawrence,1001000,GOVERNOR,1,Walt Maddox,3775,DEM
1001030,GENERAL ELECTION 2018,42,Lawrence,1001000,GOVERNOR,2,Kay Ivey,8146,REP
1001030,GENERAL ELECTION 2018,42,Lawrence,1001000,GOVERNOR,3,Write-In,24,NON
1001030,GENERAL ELECTION 2018,43,Lee,1000930,AL-03,1,Mallory Hagan,20904,DEM
1001030,GENERAL ELECTION 2018,43,Lee,1000930,AL-03,2,Mike Rogers,28173,REP
1001030,GENERAL ELECTION 2018,43,Lee,1000930,AL-03,3,Write-In,44,NON
1001030,GENERAL ELECTION 2018,43,Lee,1001000,GOVERNOR,1,Walt Maddox,19931,DEM
1001030,GENERAL ELECTION 2018,43,Lee,1001000,GOVERNOR,2,Kay Ivey,29135,REP
